;total_ips_origem;total_ips_destino;total_pacotes;5_kurt_total_ips_origem;5_skw_total_ips_destino;5_coefficient_variation_total_pacotes;has_bot
0;2;2;4;;;;0
1;0;0;0;;;;0
2;8;8;31;;;;0
3;3;4;6;;;;1
4;6;8;28;;;;0
5;2;2;3;;;;0
6;2;2;2;;;;0
7;1;1;1;;;;0
8;2;2;2;;;;0
9;0;0;0;;;;0
10;4;6;23;;;;0
11;5;6;31;;;;0
12;5;5;14;;;;0
13;0;0;0;;;;0
14;1;1;1;;;;0
15;2;2;10;;;;1
16;1;1;1;;;;0
17;3;3;8;;;;0
18;2;2;7;;;;0
19;3;4;23;;;;0
20;7;7;22;;;;0
21;4;4;9;;;;1
22;2;2;2;;;;0
23;0;0;0;;;;0
24;3;3;7;;;;1
25;2;2;8;;;;1
26;2;2;3;;;;0
27;1;1;1;;;;0
28;3;3;5;;;;1
29;1;1;3;;;;0
30;1;1;1;;;;0
31;2;2;5;;;;0
32;1;1;1;;;;0
33;2;2;4;;;;1
34;1;1;1;;;;0
35;1;1;1;;;;0
36;1;1;1;;;;0
37;0;0;0;;;;0
38;2;2;4;;;;0
39;1;5;14;;;;0
40;3;3;7;;;;0
41;1;1;4;;;;0
42;2;2;2;;;;0
43;2;2;4;;;;0
44;1;1;1;;;;0
45;0;0;0;;;;0
46;1;1;1;;;;0
47;1;1;2;;;;0
48;2;2;4;;;;0
49;0;0;0;;;;0
50;3;3;6;;;;0
51;0;0;0;;;;0
52;4;4;12;;;;1
53;0;0;0;;;;0
54;1;1;1;;;;0
55;0;0;0;;;;0
56;1;1;1;;;;0
57;3;3;7;;;;0
58;3;3;5;;;;1
59;0;0;0;;;;0
60;2;2;5;;;;0
61;0;0;0;;;;0
62;4;4;11;;;;1
63;0;0;0;;;;0
64;1;1;1;;;;0
65;2;2;8;;;;1
66;2;2;3;;;;0
67;1;1;3;;;;0
68;1;1;1;;;;0
69;3;3;24;;;;1
70;3;3;25;;;;1
71;2;2;8;;;;1
72;3;3;4;;;;0
73;1;1;2;;;;0
74;3;3;5;;;;1
75;0;0;0;;;;0
76;6;6;14;;;;1
77;2;2;4;;;;1
78;2;2;3;;;;0
79;3;3;16;;;;1
80;2;2;2;;;;0
81;0;0;0;;;;0
82;2;2;2;;;;0
83;0;0;0;;;;0
84;1;1;1;;;;0
85;0;0;0;;;;0
86;2;2;4;;;;0
87;0;0;0;;;;0
88;3;3;5;;;;1
89;1;1;4;;;;0
90;1;1;1;;;;0
91;0;0;0;;;;0
92;3;3;5;;;;0
93;0;0;0;;;;0
94;3;3;5;;;;1
95;0;0;0;;;;0
96;2;2;10;;;;0
97;0;0;0;;;;0
98;4;4;13;;;;1
99;2;2;4;;;;1
100;1;1;1;2.275253330142759;1.3259266725728256;1.3467382042238178;0
101;2;2;4;2.275253330142759;1.3259266725728256;1.3467382042238178;1
102;2;2;2;2.3337396547714087;1.329645086666955;1.3394870340556837;0
103;1;1;1;1.3385730714646014;1.230816771310959;1.325643279244544;0
104;1;1;1;1.4288375637231792;1.2886286575646038;1.3410443691392169;0
105;1;1;3;1.539353851972102;1.0840195049453007;1.3249254106363877;0
106;1;1;1;1.550311192100429;1.0984122836214048;1.3323084074182574;0
107;3;3;8;1.455376979478105;1.0737301248060294;1.3162639549595452;1
108;1;1;1;1.455376979478105;1.0737301248060294;1.3162639549595452;0
109;0;0;0;1.4093430703323562;1.0758724683210732;1.324236170751158;0
110;2;2;3;1.455376979478105;1.0737301248060294;1.3127914228896966;0
111;1;1;2;1.6968656993576725;1.068625418351872;1.314416350551871;0
112;2;2;2;2.001372379570582;1.0243433440383352;1.2605437678108544;0
113;1;1;2;2.353303611001032;1.057085290736712;1.276346179966391;0
114;1;1;1;2.4369001380170365;1.0721416088596565;1.271689146362766;0
115;3;3;7;2.28776584493472;1.027517472852853;1.2533433492498005;0
116;2;2;5;2.28776584493472;1.027517472852853;1.2607918201831858;0
117;1;1;2;2.28776584493472;1.027517472852853;1.256619274540287;0
118;1;1;1;2.4369001380170365;1.0721416088596565;1.2766038618757023;0
119;2;2;6;2.4369001380170365;1.0721416088596565;1.278582378641319;1
120;1;1;1;2.596993000439584;1.1308525152004447;1.26227232412948;0
121;2;2;4;0.7799305769992017;0.7556903192824156;1.2300605866294578;1
122;1;1;1;0.9840393126153336;0.7927198415912777;1.2504886992099198;0
123;0;0;0;0.943716300509862;0.8028122777720437;1.2604603088623585;0
124;2;2;4;0.9840393126153336;0.7927198415912777;1.242967324928761;0
125;2;2;10;1.1034952008089831;0.8165573296769156;1.2414698671780606;1
126;3;3;7;0.9840393126153336;0.7927198415912777;1.242565641273376;0
127;0;0;0;0.943716300509862;0.8028122777720437;1.2564912571142697;0
128;1;1;1;0.943716300509862;0.8028122777720437;1.2564912571142697;0
129;0;0;0;1.02669694310172;0.8379321825670769;1.2770853057174254;0
130;1;1;1;1.02669694310172;0.8379321825670769;1.2860360497159251;0
131;3;3;5;0.8816989305389455;0.7916052362146965;1.270579064918016;1
132;2;2;2;0.8816989305389455;0.7916052362146965;1.2812529638757606;0
133;0;0;0;0.8221625461310398;0.7815541139617896;1.2866345795286949;0
134;7;7;59;2.7301304068971413;1.1656269053444634;1.7363595351388244;0
135;2;2;40;2.698056755153949;1.1458177053114755;1.770950482871808;0
136;4;4;13;2.3506028652772204;1.087032510272805;1.7334432328104057;1
137;0;0;0;2.274821155926165;1.0745927228138097;1.7382464498977943;0
138;1;1;1;2.3506028652772204;1.087032510272805;1.7334432328104057;0
139;2;2;4;2.3506028652772204;1.087032510272805;1.7334432328104057;1
140;1;1;1;2.3506028652772204;1.114027020379245;1.772355267671841;0
141;4;4;8;2.1865627713364946;1.1039479321988546;1.769302097356555;1
142;4;4;6;1.8903652119086165;1.0470114331318872;1.7618587398771968;0
143;2;2;20;1.8903652119086165;1.0470114331318872;1.7253776941677816;1
144;12;12;483;12.687352851347258;2.6355819874604114;5.095811449094193;1
145;8;9;196;10.336704042223053;2.5495573692646945;4.534330977158757;1
146;10;10;689;8.93988021877376;2.522722332056129;4.660908073058868;0
147;6;7;18;7.960396431900786;2.3722183721160675;4.617303924782934;0
148;3;3;5;7.8524386853135955;2.344069003078909;4.609574836939954;1
149;3;3;12;7.748304879260954;2.322256057936977;4.589311464432124;0
150;3;3;7;7.749310562675682;2.3125739832616623;4.571519717182012;1
151;1;1;4;7.847788812267201;2.3394870322349286;4.576570794109213;0
152;3;3;7;7.852496721953114;2.330695943276324;4.558871489909119;1
153;2;2;6;8.160096352904626;2.3837876295989453;4.573825079412926;1
154;6;6;14;7.393986043424645;2.2825096950867123;4.538901250563202;1
155;13;13;408;8.137349450123025;2.4709336900182124;4.103651330891705;0
156;11;10;635;6.924631522070424;2.3504356505269257;3.838157896978241;0
157;18;17;1294;10.354324191209129;2.71519853314064;4.017788897880349;0
158;14;10;505;8.545462361849097;2.555781169944232;3.725850487243308;1
159;4;4;18;8.465100506769266;2.53819236021442;3.715058869689863;0
160;3;2;5;8.504776302272075;2.550558100418636;3.7108683837304377;0
161;4;4;24;8.39535228866718;2.523407348320192;3.695299825376854;0
162;8;7;30;7.712714929025891;2.4383378369014017;3.670978454608473;1
163;3;2;33;7.781974918451179;2.4639731052057776;3.6535142689429576;0
164;6;5;13;7.5106792422591395;2.4305863059949613;3.643024175085935;0
165;5;5;20;7.339061723184564;2.3858958918381337;3.6278811032409632;0
166;4;4;19;7.256192596399218;2.361769941223661;3.619205677943581;0
167;4;4;28;7.175675974405585;2.337997114874185;3.5996882932006264;0
168;9;9;88;6.406717192986668;2.215619378512476;3.5377287617044426;1
169;0;0;0;6.355206953331133;2.2032317170367066;3.538498515328714;0
170;3;2;7;6.355206953331133;2.2108677014507645;3.551330621701566;0
171;1;1;2;6.352838426462112;2.217537939996205;3.568881445881112;0
172;6;5;14;6.085942479562321;2.1767943717159834;3.5642701282931046;1
173;2;1;7;6.101146091864347;2.183497301810612;3.5619490856719747;0
174;3;3;5;6.104861218993247;2.1767943717159834;3.5596236933953285;0
175;8;9;28;5.594857189279876;2.072305966149381;3.5422357741022825;1
176;4;4;7;5.604597042526743;2.064442951788752;3.5368680469302305;0
177;3;4;26;5.830834958734461;2.101507886547711;3.527931083718832;0
178;10;9;107;5.075407379595787;1.9954296139297636;3.4570730823354894;0
179;0;0;0;5.015374182416284;1.9835117989467816;3.459283298054758;0
