;total_ips_origem;total_ips_destino;total_pacotes;5_kurt_total_ips_origem;5_skw_total_ips_destino;5_coefficient_variation_total_pacotes;has_bot
0;108;117;1343;;;;0
1;145;182;1829;;;;0
2;183;182;1794;;;;0
3;159;166;1797;;;;0
4;176;186;2047;;;;0
5;157;172;2268;;;;0
6;166;172;2093;;;;0
7;161;176;2040;;;;0
8;179;190;2518;;;;0
9;160;165;1774;;;;0
10;164;181;1923;;;;0
11;186;196;2243;;;;0
12;166;168;2034;;;;0
13;166;187;2082;;;;0
14;151;167;1931;;;;0
15;153;164;1739;;;;0
16;143;159;2004;;;;0
17;157;167;2139;;;;0
18;153;164;2119;;;;0
19;143;157;2259;;;;0
20;151;168;2432;;;;0
21;135;145;2172;;;;0
22;156;156;2512;;;;0
23;155;164;2036;;;;0
24;146;155;2439;;;;0
25;143;156;1846;;;;0
26;135;142;2851;;;;0
27;156;168;2043;;;;0
28;148;159;2000;;;;0
29;149;160;1969;;;;0
30;173;182;2015;;;;0
31;140;154;2047;;;;0
32;160;157;2684;;;;0
33;163;165;4771;;;;0
34;164;169;5015;;;;0
35;148;164;4278;;;;0
36;172;189;3325;;;;0
37;168;173;2683;;;;0
38;179;178;2925;;;;0
39;149;163;2291;;;;0
40;128;136;2346;;;;0
41;135;153;2111;;;;0
42;147;140;2182;;;;0
43;149;160;3622;;;;0
44;150;156;1825;;;;0
45;162;174;2043;;;;0
46;161;165;2585;;;;0
47;172;177;2906;;;;0
48;152;165;2725;;;;0
49;145;156;1961;;;;0
50;169;167;1991;;;;0
51;173;185;2364;;;;0
52;167;175;2286;;;;0
53;160;169;2792;;;;0
54;180;196;2527;;;;0
55;163;166;1856;;;;0
56;174;189;2079;;;;0
57;149;158;1687;;;;0
58;157;174;1467;;;;0
59;177;181;2438;;;;0
60;165;171;1919;;;;0
61;145;154;1602;;;;0
62;157;174;3261;;;;0
63;155;159;4687;;;;0
64;122;115;4063;;;;0
65;153;161;2833;;;;0
66;178;183;1370;;;;0
67;190;185;1352;;;;0
68;145;150;1365;;;;0
69;126;129;1522;;;;0
70;136;143;1817;;;;0
71;159;171;2158;;;;0
72;156;164;1826;;;;0
73;157;150;4824;;;;0
74;127;127;1316;;;;0
75;156;156;2273;;;;0
76;144;149;1508;;;;0
77;128;130;1938;;;;0
78;142;144;2459;;;;0
79;158;160;1848;;;;0
80;167;172;1477;;;;0
81;159;161;1964;;;;0
82;146;151;2872;;;;0
83;135;138;2066;;;;0
84;161;166;1453;;;;0
85;134;131;1573;;;;0
86;145;152;1614;;;;0
87;140;140;1642;;;;0
88;123;125;1450;;;;0
89;124;125;1444;;;;0
90;167;168;1843;;;;0
91;185;210;1741;;;;0
92;145;143;1852;;;;0
93;130;145;2025;;;;0
94;144;142;1852;;;;0
95;142;142;1539;;;;0
96;153;153;1673;;;;0
97;145;158;1885;;;;0
98;149;154;2655;;;;0
99;151;151;2796;;;;0
100;147;150;1780;;;;0
101;156;159;2181;;;;0
102;135;139;2172;;;;0
103;144;145;1629;;;;0
104;127;133;1956;;;;0
105;166;171;2146;;;;0
106;169;171;2049;;;;0
107;139;145;2723;;;;0
108;142;145;2096;;;;0
109;143;147;2015;;;;0
110;166;172;1987;;;;0
111;147;157;1749;;;;0
112;160;163;2080;;;;0
113;145;155;1997;;;;0
114;166;172;2230;;;;0
115;162;167;2598;;;;0
116;183;191;2537;;;;0
117;159;166;2182;;;;0
118;167;172;2200;;;;0
119;147;153;2036;;;;0
120;182;191;2319;;;;0
121;169;175;2077;;;;0
122;186;195;3505;;;;0
123;161;168;2527;;;;0
124;145;146;2423;;;;0
125;145;154;2499;;;;0
126;180;188;2715;;;;0
127;165;166;2144;;;;0
128;153;162;1774;;;;0
129;140;146;1709;;;;0
130;175;184;1925;;;;0
131;150;157;2317;;;;0
132;165;169;3696;;;;0
133;170;179;2909;;;;0
134;152;158;1732;;;;0
135;155;158;1735;;;;0
136;182;192;1895;;;;0
137;158;158;1995;;;;0
138;149;160;1914;;;;0
139;159;163;2995;;;;0
140;170;168;6704;;;;0
141;140;145;4882;;;;0
142;151;154;4160;;;;0
143;157;177;3890;;;;0
144;212;215;2980;;;;0
145;151;167;1493;;;;0
146;182;191;2775;;;;0
147;174;176;2178;;;;0
148;145;153;2072;;;;0
149;159;162;1994;;;;0
150;161;169;2130;;;;0
151;154;160;1909;;;;0
152;141;154;1884;;;;0
153;156;162;2260;;;;0
154;164;159;2875;;;;0
155;178;180;2750;;;;0
156;161;166;1996;;;;0
157;159;160;2092;;;;0
158;150;151;2080;;;;0
159;144;150;2367;;;;0
160;149;151;3047;;;;0
161;171;183;2115;;;;0
162;167;170;1855;;;;0
163;169;176;1932;;;;0
164;179;182;3118;;;;0
165;163;171;6089;;;;0
